id	name	description	price
18	HP Pavilion 15 64GB Black 2023 - SKU 01	A practical laptop for office work, study, streaming and everyday home use. Category: laptop. Brand: HP. Color: Black. Configuration: 64GB.	695.42
19	Lenovo ThinkPad X1 Carbon 64GB Black 2023 - SKU 01	A business laptop with durable build, excellent keyboard and lightweight design. Category: laptop. Brand: Lenovo. Color: Black. Configuration: 64GB.	732.61
20	Lenovo Yoga 7i 64GB Black 2023 - SKU 01	A flexible 2 in 1 laptop with touchscreen, long battery life and portable design. Category: laptop. Brand: Lenovo. Color: Black. Configuration: 64GB.	769.80
21	Asus ROG Zephyrus G14 64GB Black 2023 - SKU 01	A compact gaming laptop with strong graphics, fast display and portable power. Category: gaming laptop. Brand: Asus. Color: Black. Configuration: 64GB.	806.99
22	Acer Swift Go 14 64GB Black 2023 - SKU 01	A slim laptop for students, remote workers and productivity on the move. Category: laptop. Brand: Acer. Color: Black. Configuration: 64GB.	843.18
23	Microsoft Surface Pro 9 64GB Black 2023 - SKU 01	A detachable Windows device for tablet use, note taking and laptop workflows. Category: tablet laptop. Brand: Microsoft. Color: Black. Configuration: 64GB.	880.37
24	Amazon Fire HD 10 64GB Black 2023 - SKU 01	An affordable tablet for streaming, reading, browsing and family entertainment. Category: tablet. Brand: Amazon. Color: Black. Configuration: 64GB.	917.56
25	Bose QuietComfort Ultra Headphones 64GB Black 2023 - SKU 01	Noise cancelling wireless headphones with immersive audio and comfortable fit. Category: headphones. Brand: Bose. Color: Black. Configuration: 64GB.	954.75
26	Sony WH-1000XM5 64GB Black 2023 - SKU 01	Premium noise cancelling headphones with clear calls and long battery life. Category: headphones. Brand: Sony. Color: Black. Configuration: 64GB.	991.94
27	Apple AirPods Pro 2 64GB Black 2023 - SKU 01	Wireless earbuds with active noise cancellation, transparency mode and spatial audio. Category: earbuds. Brand: Apple. Color: Black. Configuration: 64GB.	1028.13
28	Samsung Galaxy Buds2 Pro 64GB Black 2023 - SKU 01	Compact wireless earbuds with rich sound, ANC and comfortable daily wear. Category: earbuds. Brand: Samsung. Color: Black. Configuration: 64GB.	1065.32
29	JBL Charge 5 64GB Black 2023 - SKU 01	Portable Bluetooth speaker with waterproof design, punchy sound and power bank feature. Category: speaker. Brand: JBL. Color: Black. Configuration: 64GB.	1102.51
30	Sonos Roam 64GB Black 2023 - SKU 01	Smart portable speaker with Wi-Fi, Bluetooth and room filling sound. Category: speaker. Brand: Sonos. Color: Black. Configuration: 64GB.	1139.70
31	Canon EOS R50 64GB Black 2023 - SKU 01	Mirrorless camera for content creators, travel photography and sharp video recording. Category: camera. Brand: Canon. Color: Black. Configuration: 64GB.	1176.89
32	Sony Alpha ZV-E10 64GB Black 2023 - SKU 01	Creator focused mirrorless camera with interchangeable lenses and strong video features. Category: camera. Brand: Sony. Color: Black. Configuration: 64GB.	1213.08
33	GoPro Hero 12 Black 64GB Black 2023 - SKU 01	Rugged action camera for sports, travel, vlogging and stabilized video. Category: action camera. Brand: GoPro. Color: Black. Configuration: 64GB.	1250.27
34	DJI Osmo Action 4 64GB Black 2023 - SKU 01	Durable action camera with strong low light video and stabilization. Category: action camera. Brand: DJI. Color: Black. Configuration: 64GB.	1287.46
35	Nintendo Switch OLED 64GB Black 2023 - SKU 01	Portable and dockable game console with OLED screen and family friendly games. Category: game console. Brand: Nintendo. Color: Black. Configuration: 64GB.	1324.65
36	Sony PlayStation 5 Slim 64GB Black 2023 - SKU 01	Home game console with fast storage, 4K gaming and immersive controller feedback. Category: game console. Brand: Sony. Color: Black. Configuration: 64GB.	1361.84
37	Microsoft Xbox Series X 64GB Black 2023 - SKU 01	Powerful home console for 4K gaming, streaming and Game Pass titles. Category: game console. Brand: Microsoft. Color: Black. Configuration: 64GB.	1398.03
38	Logitech MX Master 3S 64GB Black 2023 - SKU 01	Ergonomic wireless mouse for productivity, precision scrolling and multi device control. Category: mouse. Brand: Logitech. Color: Black. Configuration: 64GB.	1435.22
39	Logitech MX Keys S 64GB Black 2023 - SKU 01	Low profile wireless keyboard with quiet typing, backlight and multi device pairing. Category: keyboard. Brand: Logitech. Color: Black. Configuration: 64GB.	1472.41
40	Razer DeathAdder V3 64GB Black 2023 - SKU 01	Lightweight gaming mouse with fast sensor, ergonomic shape and precise tracking. Category: gaming mouse. Brand: Razer. Color: Black. Configuration: 64GB.	1509.60
41	Corsair K70 RGB Pro 64GB Black 2023 - SKU 01	Mechanical gaming keyboard with fast switches, RGB lighting and durable build. Category: gaming keyboard. Brand: Corsair. Color: Black. Configuration: 64GB.	1546.79
42	LG OLED C3 55 Inch 64GB Black 2023 - SKU 01	OLED smart TV with deep blacks, fast gaming response and cinematic picture quality. Category: television. Brand: LG. Color: Black. Configuration: 64GB.	1583.98
43	Samsung QLED Q80C 65 Inch 64GB Black 2023 - SKU 01	Bright QLED smart TV for sports, movies, gaming and everyday streaming. Category: television. Brand: Samsung. Color: Black. Configuration: 64GB.	1620.17
44	Sony Bravia XR A80L 64GB Black 2023 - SKU 01	Premium OLED TV with cinematic processing, rich contrast and smart streaming apps. Category: television. Brand: Sony. Color: Black. Configuration: 64GB.	1657.36
45	Anker 737 Power Bank 64GB Black 2023 - SKU 01	High capacity portable charger for laptops, phones, tablets and travel. Category: power bank. Brand: Anker. Color: Black. Configuration: 64GB.	1694.55
46	Belkin BoostCharge Pro 64GB Black 2023 - SKU 01	Fast wireless charging stand for phones, earbuds and everyday desk use. Category: charger. Brand: Belkin. Color: Black. Configuration: 64GB.	1731.74
47	TP-Link Archer AX55 64GB Black 2023 - SKU 01	Wi-Fi 6 router for faster home networking, streaming and online gaming. Category: router. Brand: TP-Link. Color: Black. Configuration: 64GB.	1768.93
48	Netgear Nighthawk AX8 64GB Black 2023 - SKU 01	High performance router with wide coverage and fast Wi-Fi 6 connectivity. Category: router. Brand: Netgear. Color: Black. Configuration: 64GB.	1805.12
49	Eero 6 Plus Mesh Wi-Fi 64GB Black 2023 - SKU 01	Mesh Wi-Fi system for whole home coverage and simple network management. Category: mesh router. Brand: Eero. Color: Black. Configuration: 64GB.	1842.31
50	Kindle Paperwhite 64GB Black 2023 - SKU 01	Water resistant e-reader with sharp display, warm light and long battery life. Category: e-reader. Brand: Kindle. Color: Black. Configuration: 64GB.	1879.50
51	Garmin Forerunner 265 64GB Black 2023 - SKU 01	Running smartwatch with AMOLED display, training metrics and health tracking. Category: smartwatch. Brand: Garmin. Color: Black. Configuration: 64GB.	1916.69
52	Apple Watch Series 9 64GB Black 2023 - SKU 01	Smartwatch with fitness tracking, notifications, health sensors and bright display. Category: smartwatch. Brand: Apple. Color: Black. Configuration: 64GB.	1953.88
53	Samsung Galaxy Watch6 64GB Black 2023 - SKU 01	Android smartwatch with health tracking, notifications and everyday fitness tools. Category: smartwatch. Brand: Samsung. Color: Black. Configuration: 64GB.	1990.07
54	Fitbit Charge 6 64GB Black 2023 - SKU 01	Slim fitness tracker with heart rate, sleep tracking and Google app support. Category: fitness tracker. Brand: Fitbit. Color: Black. Configuration: 64GB.	2027.26
55	Dyson V15 Detect 64GB Black 2023 - SKU 01	Cordless vacuum with strong suction, laser dust detection and smart cleaning modes. Category: vacuum. Brand: Dyson. Color: Black. Configuration: 64GB.	2064.45
56	iRobot Roomba j7 64GB Black 2023 - SKU 01	Robot vacuum with obstacle detection, smart mapping and automatic cleaning schedules. Category: robot vacuum. Brand: iRobot. Color: Black. Configuration: 64GB.	2101.64
57	Shark Ninja Foodi DualZone 64GB Black 2023 - SKU 01	Dual basket air fryer for fast meals, crisp texture and flexible cooking. Category: air fryer. Brand: Shark. Color: Black. Configuration: 64GB.	2138.83
58	Instant Pot Duo Plus 64GB Black 2023 - SKU 01	Multi cooker for pressure cooking, slow cooking, rice, soups and easy dinners. Category: pressure cooker. Brand: Instant Pot. Color: Black. Configuration: 64GB.	2175.02
59	Nespresso Vertuo Next 64GB Black 2023 - SKU 01	Capsule coffee machine for espresso, coffee and simple home brewing. Category: coffee maker. Brand: Nespresso. Color: Black. Configuration: 64GB.	2212.21
60	Breville Barista Express 64GB Black 2023 - SKU 01	Home espresso machine with grinder, steam wand and cafe style drinks. Category: espresso machine. Brand: Breville. Color: Black. Configuration: 64GB.	2249.40
61	Apple iPhone 15 Pro 64GB White 2023 - SKU 01	A premium smartphone with advanced camera, fast processor, OLED display and all day battery. Category: smartphone. Brand: Apple. Color: White. Configuration: 64GB.	2286.59
62	Apple iPhone 14 64GB White 2023 - SKU 01	A reliable smartphone with sharp display, strong camera quality and smooth everyday performance. Category: smartphone. Brand: Apple. Color: White. Configuration: 64GB.	2323.78
63	Apple MacBook Air M3 64GB White 2023 - SKU 01	A lightweight laptop for work, school, travel, coding and creative productivity. Category: laptop. Brand: Apple. Color: White. Configuration: 64GB.	2360.97
64	Apple iPad Air 64GB White 2023 - SKU 01	A thin tablet for streaming, note taking, drawing and mobile productivity. Category: tablet. Brand: Apple. Color: White. Configuration: 64GB.	2397.16
65	Samsung Galaxy S24 Ultra 64GB White 2023 - SKU 01	A flagship Android phone with bright display, zoom camera and high performance chipset. Category: smartphone. Brand: Samsung. Color: White. Configuration: 64GB.	34.35
66	Samsung Galaxy A55 64GB White 2023 - SKU 01	A mid range Android phone with AMOLED display, strong battery life and clean design. Category: smartphone. Brand: Samsung. Color: White. Configuration: 64GB.	71.54
67	Samsung Galaxy Tab S9 64GB White 2023 - SKU 01	A premium Android tablet for media, drawing, multitasking and business use. Category: tablet. Brand: Samsung. Color: White. Configuration: 64GB.	108.73
68	Google Pixel 8 Pro 64GB White 2023 - SKU 01	A camera focused Android phone with AI features and clean software experience. Category: smartphone. Brand: Google. Color: White. Configuration: 64GB.	145.92
69	Google Pixel 7a 64GB White 2023 - SKU 01	A compact Android phone with excellent camera quality and reliable battery life. Category: smartphone. Brand: Google. Color: White. Configuration: 64GB.	182.11
70	OnePlus 12 64GB White 2023 - SKU 01	A fast Android phone with smooth display, rapid charging and flagship performance. Category: smartphone. Brand: OnePlus. Color: White. Configuration: 64GB.	219.30
71	Xiaomi Redmi Note 13 Pro 64GB White 2023 - SKU 01	A value smartphone with large display, high resolution camera and long battery life. Category: smartphone. Brand: Xiaomi. Color: White. Configuration: 64GB.	256.49
72	Sony Xperia 1 V 64GB White 2023 - SKU 01	A creator focused phone with cinematic display, pro camera controls and rich audio. Category: smartphone. Brand: Sony. Color: White. Configuration: 64GB.	293.68
73	Motorola Moto G Power 64GB White 2023 - SKU 01	An affordable phone with large battery, simple software and dependable performance. Category: smartphone. Brand: Motorola. Color: White. Configuration: 64GB.	330.87
74	Nokia G50 64GB White 2023 - SKU 01	A durable smartphone with clean Android experience and reliable connectivity. Category: smartphone. Brand: Nokia. Color: White. Configuration: 64GB.	367.06
75	Dell XPS 13 64GB White 2023 - SKU 01	A premium ultrabook with compact chassis, sharp screen and excellent keyboard. Category: laptop. Brand: Dell. Color: White. Configuration: 64GB.	404.25
76	Dell XPS 15 64GB White 2023 - SKU 01	A powerful laptop for creators, developers and professionals who need extra performance. Category: laptop. Brand: Dell. Color: White. Configuration: 64GB.	441.44
77	HP Spectre x360 64GB White 2023 - SKU 01	A convertible laptop with touchscreen, premium design and flexible productivity modes. Category: laptop. Brand: HP. Color: White. Configuration: 64GB.	478.63
78	HP Pavilion 15 64GB White 2023 - SKU 01	A practical laptop for office work, study, streaming and everyday home use. Category: laptop. Brand: HP. Color: White. Configuration: 64GB.	515.82
79	Lenovo ThinkPad X1 Carbon 64GB White 2023 - SKU 01	A business laptop with durable build, excellent keyboard and lightweight design. Category: laptop. Brand: Lenovo. Color: White. Configuration: 64GB.	552.01
80	Lenovo Yoga 7i 64GB White 2023 - SKU 01	A flexible 2 in 1 laptop with touchscreen, long battery life and portable design. Category: laptop. Brand: Lenovo. Color: White. Configuration: 64GB.	589.20
81	Asus ROG Zephyrus G14 64GB White 2023 - SKU 01	A compact gaming laptop with strong graphics, fast display and portable power. Category: gaming laptop. Brand: Asus. Color: White. Configuration: 64GB.	626.39
82	Acer Swift Go 14 64GB White 2023 - SKU 01	A slim laptop for students, remote workers and productivity on the move. Category: laptop. Brand: Acer. Color: White. Configuration: 64GB.	663.58
83	Microsoft Surface Pro 9 64GB White 2023 - SKU 01	A detachable Windows device for tablet use, note taking and laptop workflows. Category: tablet laptop. Brand: Microsoft. Color: White. Configuration: 64GB.	700.77
84	Amazon Fire HD 10 64GB White 2023 - SKU 01	An affordable tablet for streaming, reading, browsing and family entertainment. Category: tablet. Brand: Amazon. Color: White. Configuration: 64GB.	737.96
85	Bose QuietComfort Ultra Headphones 64GB White 2023 - SKU 01	Noise cancelling wireless headphones with immersive audio and comfortable fit. Category: headphones. Brand: Bose. Color: White. Configuration: 64GB.	774.15
86	Sony WH-1000XM5 64GB White 2023 - SKU 01	Premium noise cancelling headphones with clear calls and long battery life. Category: headphones. Brand: Sony. Color: White. Configuration: 64GB.	811.34
87	Apple AirPods Pro 2 64GB White 2023 - SKU 01	Wireless earbuds with active noise cancellation, transparency mode and spatial audio. Category: earbuds. Brand: Apple. Color: White. Configuration: 64GB.	848.53
88	Samsung Galaxy Buds2 Pro 64GB White 2023 - SKU 01	Compact wireless earbuds with rich sound, ANC and comfortable daily wear. Category: earbuds. Brand: Samsung. Color: White. Configuration: 64GB.	885.72
89	JBL Charge 5 64GB White 2023 - SKU 01	Portable Bluetooth speaker with waterproof design, punchy sound and power bank feature. Category: speaker. Brand: JBL. Color: White. Configuration: 64GB.	922.91
90	Sonos Roam 64GB White 2023 - SKU 01	Smart portable speaker with Wi-Fi, Bluetooth and room filling sound. Category: speaker. Brand: Sonos. Color: White. Configuration: 64GB.	959.10
91	Canon EOS R50 64GB White 2023 - SKU 01	Mirrorless camera for content creators, travel photography and sharp video recording. Category: camera. Brand: Canon. Color: White. Configuration: 64GB.	996.29
92	Sony Alpha ZV-E10 64GB White 2023 - SKU 01	Creator focused mirrorless camera with interchangeable lenses and strong video features. Category: camera. Brand: Sony. Color: White. Configuration: 64GB.	1033.48
93	GoPro Hero 12 Black 64GB White 2023 - SKU 01	Rugged action camera for sports, travel, vlogging and stabilized video. Category: action camera. Brand: GoPro. Color: White. Configuration: 64GB.	1070.67
94	DJI Osmo Action 4 64GB White 2023 - SKU 01	Durable action camera with strong low light video and stabilization. Category: action camera. Brand: DJI. Color: White. Configuration: 64GB.	1107.86
95	Nintendo Switch OLED 64GB White 2023 - SKU 01	Portable and dockable game console with OLED screen and family friendly games. Category: game console. Brand: Nintendo. Color: White. Configuration: 64GB.	1144.05
96	Sony PlayStation 5 Slim 64GB White 2023 - SKU 01	Home game console with fast storage, 4K gaming and immersive controller feedback. Category: game console. Brand: Sony. Color: White. Configuration: 64GB.	1181.24
97	Microsoft Xbox Series X 64GB White 2023 - SKU 01	Powerful home console for 4K gaming, streaming and Game Pass titles. Category: game console. Brand: Microsoft. Color: White. Configuration: 64GB.	1218.43
98	Logitech MX Master 3S 64GB White 2023 - SKU 01	Ergonomic wireless mouse for productivity, precision scrolling and multi device control. Category: mouse. Brand: Logitech. Color: White. Configuration: 64GB.	1255.62
99	Logitech MX Keys S 64GB White 2023 - SKU 01	Low profile wireless keyboard with quiet typing, backlight and multi device pairing. Category: keyboard. Brand: Logitech. Color: White. Configuration: 64GB.	1292.81
100	Razer DeathAdder V3 64GB White 2023 - SKU 01	Lightweight gaming mouse with fast sensor, ergonomic shape and precise tracking. Category: gaming mouse. Brand: Razer. Color: White. Configuration: 64GB.	1329.00
101	Corsair K70 RGB Pro 64GB White 2023 - SKU 01	Mechanical gaming keyboard with fast switches, RGB lighting and durable build. Category: gaming keyboard. Brand: Corsair. Color: White. Configuration: 64GB.	1366.19
102	LG OLED C3 55 Inch 64GB White 2023 - SKU 01	OLED smart TV with deep blacks, fast gaming response and cinematic picture quality. Category: television. Brand: LG. Color: White. Configuration: 64GB.	1403.38
103	Samsung QLED Q80C 65 Inch 64GB White 2023 - SKU 01	Bright QLED smart TV for sports, movies, gaming and everyday streaming. Category: television. Brand: Samsung. Color: White. Configuration: 64GB.	1440.57
104	Sony Bravia XR A80L 64GB White 2023 - SKU 01	Premium OLED TV with cinematic processing, rich contrast and smart streaming apps. Category: television. Brand: Sony. Color: White. Configuration: 64GB.	1477.76
105	Anker 737 Power Bank 64GB White 2023 - SKU 01	High capacity portable charger for laptops, phones, tablets and travel. Category: power bank. Brand: Anker. Color: White. Configuration: 64GB.	1514.95
106	Belkin BoostCharge Pro 64GB White 2023 - SKU 01	Fast wireless charging stand for phones, earbuds and everyday desk use. Category: charger. Brand: Belkin. Color: White. Configuration: 64GB.	1551.14
107	TP-Link Archer AX55 64GB White 2023 - SKU 01	Wi-Fi 6 router for faster home networking, streaming and online gaming. Category: router. Brand: TP-Link. Color: White. Configuration: 64GB.	1588.33
108	Netgear Nighthawk AX8 64GB White 2023 - SKU 01	High performance router with wide coverage and fast Wi-Fi 6 connectivity. Category: router. Brand: Netgear. Color: White. Configuration: 64GB.	1625.52
109	Eero 6 Plus Mesh Wi-Fi 64GB White 2023 - SKU 01	Mesh Wi-Fi system for whole home coverage and simple network management. Category: mesh router. Brand: Eero. Color: White. Configuration: 64GB.	1662.71
110	Kindle Paperwhite 64GB White 2023 - SKU 01	Water resistant e-reader with sharp display, warm light and long battery life. Category: e-reader. Brand: Kindle. Color: White. Configuration: 64GB.	1699.90
111	Garmin Forerunner 265 64GB White 2023 - SKU 01	Running smartwatch with AMOLED display, training metrics and health tracking. Category: smartwatch. Brand: Garmin. Color: White. Configuration: 64GB.	1736.09
112	Apple Watch Series 9 64GB White 2023 - SKU 01	Smartwatch with fitness tracking, notifications, health sensors and bright display. Category: smartwatch. Brand: Apple. Color: White. Configuration: 64GB.	1773.28
113	Samsung Galaxy Watch6 64GB White 2023 - SKU 01	Android smartwatch with health tracking, notifications and everyday fitness tools. Category: smartwatch. Brand: Samsung. Color: White. Configuration: 64GB.	1810.47
114	Fitbit Charge 6 64GB White 2023 - SKU 01	Slim fitness tracker with heart rate, sleep tracking and Google app support. Category: fitness tracker. Brand: Fitbit. Color: White. Configuration: 64GB.	1847.66
115	Dyson V15 Detect 64GB White 2023 - SKU 01	Cordless vacuum with strong suction, laser dust detection and smart cleaning modes. Category: vacuum. Brand: Dyson. Color: White. Configuration: 64GB.	1884.85
116	iRobot Roomba j7 64GB White 2023 - SKU 01	Robot vacuum with obstacle detection, smart mapping and automatic cleaning schedules. Category: robot vacuum. Brand: iRobot. Color: White. Configuration: 64GB.	1921.04
117	Shark Ninja Foodi DualZone 64GB White 2023 - SKU 01	Dual basket air fryer for fast meals, crisp texture and flexible cooking. Category: air fryer. Brand: Shark. Color: White. Configuration: 64GB.	1958.23
118	Instant Pot Duo Plus 64GB White 2023 - SKU 01	Multi cooker for pressure cooking, slow cooking, rice, soups and easy dinners. Category: pressure cooker. Brand: Instant Pot. Color: White. Configuration: 64GB.	1995.42
119	Nespresso Vertuo Next 64GB White 2023 - SKU 01	Capsule coffee machine for espresso, coffee and simple home brewing. Category: coffee maker. Brand: Nespresso. Color: White. Configuration: 64GB.	2032.61
120	Breville Barista Express 64GB White 2023 - SKU 01	Home espresso machine with grinder, steam wand and cafe style drinks. Category: espresso machine. Brand: Breville. Color: White. Configuration: 64GB.	2069.80
121	Apple iPhone 15 Pro 64GB Silver 2023 - SKU 01	A premium smartphone with advanced camera, fast processor, OLED display and all day battery. Category: smartphone. Brand: Apple. Color: Silver. Configuration: 64GB.	2106.99
122	Apple iPhone 14 64GB Silver 2023 - SKU 01	A reliable smartphone with sharp display, strong camera quality and smooth everyday performance. Category: smartphone. Brand: Apple. Color: Silver. Configuration: 64GB.	2143.18
123	Apple MacBook Air M3 64GB Silver 2023 - SKU 01	A lightweight laptop for work, school, travel, coding and creative productivity. Category: laptop. Brand: Apple. Color: Silver. Configuration: 64GB.	2180.37
124	Apple iPad Air 64GB Silver 2023 - SKU 01	A thin tablet for streaming, note taking, drawing and mobile productivity. Category: tablet. Brand: Apple. Color: Silver. Configuration: 64GB.	2217.56
125	Samsung Galaxy S24 Ultra 64GB Silver 2023 - SKU 01	A flagship Android phone with bright display, zoom camera and high performance chipset. Category: smartphone. Brand: Samsung. Color: Silver. Configuration: 64GB.	2254.75
126	Samsung Galaxy A55 64GB Silver 2023 - SKU 01	A mid range Android phone with AMOLED display, strong battery life and clean design. Category: smartphone. Brand: Samsung. Color: Silver. Configuration: 64GB.	2291.94
127	Samsung Galaxy Tab S9 64GB Silver 2023 - SKU 01	A premium Android tablet for media, drawing, multitasking and business use. Category: tablet. Brand: Samsung. Color: Silver. Configuration: 64GB.	2328.13
128	Google Pixel 8 Pro 64GB Silver 2023 - SKU 01	A camera focused Android phone with AI features and clean software experience. Category: smartphone. Brand: Google. Color: Silver. Configuration: 64GB.	2365.32
129	Google Pixel 7a 64GB Silver 2023 - SKU 01	A compact Android phone with excellent camera quality and reliable battery life. Category: smartphone. Brand: Google. Color: Silver. Configuration: 64GB.	2402.51
130	OnePlus 12 64GB Silver 2023 - SKU 01	A fast Android phone with smooth display, rapid charging and flagship performance. Category: smartphone. Brand: OnePlus. Color: Silver. Configuration: 64GB.	39.70
131	Xiaomi Redmi Note 13 Pro 64GB Silver 2023 - SKU 01	A value smartphone with large display, high resolution camera and long battery life. Category: smartphone. Brand: Xiaomi. Color: Silver. Configuration: 64GB.	76.89
132	Sony Xperia 1 V 64GB Silver 2023 - SKU 01	A creator focused phone with cinematic display, pro camera controls and rich audio. Category: smartphone. Brand: Sony. Color: Silver. Configuration: 64GB.	113.08
133	Motorola Moto G Power 64GB Silver 2023 - SKU 01	An affordable phone with large battery, simple software and dependable performance. Category: smartphone. Brand: Motorola. Color: Silver. Configuration: 64GB.	150.27
134	Nokia G50 64GB Silver 2023 - SKU 01	A durable smartphone with clean Android experience and reliable connectivity. Category: smartphone. Brand: Nokia. Color: Silver. Configuration: 64GB.	187.46
135	Dell XPS 13 64GB Silver 2023 - SKU 01	A premium ultrabook with compact chassis, sharp screen and excellent keyboard. Category: laptop. Brand: Dell. Color: Silver. Configuration: 64GB.	224.65
136	Dell XPS 15 64GB Silver 2023 - SKU 01	A powerful laptop for creators, developers and professionals who need extra performance. Category: laptop. Brand: Dell. Color: Silver. Configuration: 64GB.	261.84
137	HP Spectre x360 64GB Silver 2023 - SKU 01	A convertible laptop with touchscreen, premium design and flexible productivity modes. Category: laptop. Brand: HP. Color: Silver. Configuration: 64GB.	298.03
138	HP Pavilion 15 64GB Silver 2023 - SKU 01	A practical laptop for office work, study, streaming and everyday home use. Category: laptop. Brand: HP. Color: Silver. Configuration: 64GB.	335.22
139	Lenovo ThinkPad X1 Carbon 64GB Silver 2023 - SKU 01	A business laptop with durable build, excellent keyboard and lightweight design. Category: laptop. Brand: Lenovo. Color: Silver. Configuration: 64GB.	372.41
140	Lenovo Yoga 7i 64GB Silver 2023 - SKU 01	A flexible 2 in 1 laptop with touchscreen, long battery life and portable design. Category: laptop. Brand: Lenovo. Color: Silver. Configuration: 64GB.	409.60
141	Asus ROG Zephyrus G14 64GB Silver 2023 - SKU 01	A compact gaming laptop with strong graphics, fast display and portable power. Category: gaming laptop. Brand: Asus. Color: Silver. Configuration: 64GB.	446.79
142	Acer Swift Go 14 64GB Silver 2023 - SKU 01	A slim laptop for students, remote workers and productivity on the move. Category: laptop. Brand: Acer. Color: Silver. Configuration: 64GB.	483.98
143	Microsoft Surface Pro 9 64GB Silver 2023 - SKU 01	A detachable Windows device for tablet use, note taking and laptop workflows. Category: tablet laptop. Brand: Microsoft. Color: Silver. Configuration: 64GB.	520.17
144	Amazon Fire HD 10 64GB Silver 2023 - SKU 01	An affordable tablet for streaming, reading, browsing and family entertainment. Category: tablet. Brand: Amazon. Color: Silver. Configuration: 64GB.	557.36
145	Bose QuietComfort Ultra Headphones 64GB Silver 2023 - SKU 01	Noise cancelling wireless headphones with immersive audio and comfortable fit. Category: headphones. Brand: Bose. Color: Silver. Configuration: 64GB.	594.55
146	Sony WH-1000XM5 64GB Silver 2023 - SKU 01	Premium noise cancelling headphones with clear calls and long battery life. Category: headphones. Brand: Sony. Color: Silver. Configuration: 64GB.	631.74
147	Apple AirPods Pro 2 64GB Silver 2023 - SKU 01	Wireless earbuds with active noise cancellation, transparency mode and spatial audio. Category: earbuds. Brand: Apple. Color: Silver. Configuration: 64GB.	668.93
148	Samsung Galaxy Buds2 Pro 64GB Silver 2023 - SKU 01	Compact wireless earbuds with rich sound, ANC and comfortable daily wear. Category: earbuds. Brand: Samsung. Color: Silver. Configuration: 64GB.	705.12
